Ticker,Name,Exchange,categoryName,categoryNr
BDK.BE,BEST DENKI,BER,Home Furnishings & Fixtures,311
IDKOY,Idemitsu Kosan Co. Ltd.,PNK,,0
ABRN,Arbor Realty Trust Inc.,NYQ,,0
HOMB,"Home Bancshares, Inc. (Conway, AR)",NMS,Money Center Banks,410
JLL,Jones Lang LaSalle Incorporated,NYQ,Property Management,448
PFK,Prudential Financial Inflation-,NYQ,,0
BR.TO,Big Rock Brewery Inc.,TOR,Beverages - Brewers,346
WFWL,Wi-Fi Wireless Inc.,PNK,,0
GAIA,Gaiam Inc.,NGM,Catalog & Mail Order Houses,739
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,,0
UEPS,Net 1 Ueps Technologies Inc.,NMS,Business Services,760
CCZ.TO,Critical Control Energy Services Corp.,TOR,Information Technology Services,824
BOCA-CL,"Banc of California, Inc. Senior",NYQ,,0
VOLTAMP.NS,Voltamp Transformers Limited,NSI,Diversified Machinery,622
ALVA.BE,ALLIANZ SP ADR,BER,Property & Casualty Insurance,432
ONWARDTEC.BO,ONWARD TECHNOLOGIES LTD.,BSE,,0
KNRCON.NS,KNR Constructions Limited.,NSI,General Contractors,636
FNMFN,Federal National Mortgage Association,OBB,,0
COST.MX,Costco Wholesale Corporation,MEX,"Discount, Variety Stores",732
GMLP,Golar LNG Partners Limited Partnership,NMS,Shipping,775
1520.HK,RUNWAY GLOBAL,HKG,,0
LVH1.F,JACKPOT DIGITAL,FRA,,0
ARB-H.V,ARDONBLUE VENTURES INC,VAN,,0
ALIAF,Alacer Gold Corp.,PNK,,0
CJEWF,Chow Tai Fook Jewellery Group Ltd.,PNK,,0
EBIO,"Eleven Biotherapeutics, Inc.",NGM,Biotechnology,515
CLOW,"Cloudweb, Inc.",OBB,,0
XJOMOQ-A,MINI S,ASX,,0
CU7.F,QUOTIENT TECHNOLOGY,FRA,,0
5TR.HM,DGH Deutsche Grundwert Holding AG,HAM,,0
GLYC,"GlycoMimetics, Inc.",NGM,Biotechnology,515
XEK.F,FORTRESS INVEST-A,FRA,Asset Management,422
0035.KL,OPCOM HOLDINGS BHD,KLS,,0
2138.HK,UM HEALTHCARE,HKG,,0
GLYHO.IS,Global Yatirim Holding A.S.,IST,,0
MOR.DE,Morphosys AG,GER,Biotechnology,515
YUMF.EX,YUM BRANDS,EUX,,0
MDLZ.SW,MONDELEZ INT-A,EBS,,0
VML.AX,Vital Metals Limited,ASX,Industrial Metals & Minerals,133
